"","High","Low","Close","Rets","ATR","EWM_FAST","EWM_SLOW","MACD","signal","diffMACD","EMA_10","EMA_20","EMA_50","SMA_10","SMA_20","SMA_50","slopeClose","slopeMACD","ADX","RSI","Stoch","BinaryRets","BinaryRets_1","BinaryRets_2","label"
"X2004.12.27",1.938586,1.920602,1.93491,0.00677248589152155,0.0168458852104614,1.92747630511651,1.91395842776809,0.0135178773484124,0.0174822119916307,-0.0039643346432183,0.0177820778688027,0.018598324163824,0.0145778831361965,0.0186947908655649,0.021541011381879,0.0148313634180764,0.00195109752419567,-0.000460046515214439,42.9798049756649,62.1677859448118,0.795596085409252,1,0,1,0
"X2004.12.28",1.940994,1.927414,1.927191,-0.00398933283718613,0.0166126076954285,1.92743241202166,1.91493861830379,0.0124937937178684,0.0164845283368782,-0.00399073461900981,0.0168205716595419,0.0180169403118282,0.0144961541393993,0.0177483881026765,0.0212359281422041,0.0150978462630782,0.00316108947091008,-1.4168927161922e-05,41.935071213958,58.7364158046403,-0.0164212076583107,0,1,0,0
"X2004.12.29",1.933787,1.912887,1.917913,-0.00481426075568022,0.0169188500028979,1.92596788709525,1.91515894287388,0.0108089442213697,0.0153494115137765,-0.00454046729240682,0.0157275484889651,0.0173304644936893,0.0143515576720256,0.0166084920565084,0.0206942671636303,0.0153164526372183,-0.00600032798715483,6.00708872917252e-06,39.6967732195406,54.8197440063224,0.240478468899521,0,0,1,1
"X2004.12.30",1.928789,1.916113,1.923817,0.00307834609807647,0.0166157892884052,1.92563698138829,1.91580028043878,0.00983670094951061,0.0142468694009233,-0.00441016845141272,0.0146564852999734,0.0166167727275771,0.0141745044672211,0.0154656733074422,0.0200333189078972,0.015484717658129,-0.0105034137314682,-1.34722725248799e-05,37.6183536532958,56.7941173765829,0.607762701167567,1,0,0,0
"X2004.12.31",1.935209,1.915012,1.919791,-0.0020927146396981,0.0168715900535191,1.92473759963624,1.91609588929516,0.00864171034107941,0.0131258375889545,-0.00448412724787514,0.0135628898529018,0.0158572429764821,0.0139575321485489,0.0142168019421346,0.0191902709137143,0.0155873540402314,-0.00360228441829435,-0.000145901903136368,36.1111577634764,55.0281699411911,0.236619299896028,0,1,0,0
"X2005.01.03",1.919791,1.90049,1.904617,-0.00790398538174209,0.0170451193354106,1.92164212276913,1.91524560119923,0.00639652156990311,0.0117799743851443,-0.00538345281524115,0.0122599138014475,0.0149562218901412,0.0136610219297785,0.0127382046964704,0.0181830723893407,0.0156103117294543,-0.00257509430807313,-0.000272909628017693,33.5557997923924,48.8614810726863,0.213823117973161,0,0,1,0
"X2005.01.04",1.908506,1.878816,1.883594,-0.0110379147093615,0.017948325097167,1.91578856542003,1.91290103814743,0.002887527272601,0.0100014849626356,-0.00711395769003461,0.0105558435234754,0.0138068224027564,0.0132385319432225,0.0110722860031839,0.016941383261819,0.0155170990730966,0.000655699906028961,-0.00061202643949151,32.4427730017363,41.861994597377,0.16092960592792,0,0,0,1
"X2005.01.05",1.889216,1.873712,1.885512,0.00101826614440271,0.0177737304473693,1.91113063227849,1.91087222050688,0.000258411771608014,0.00805287032443009,-0.00779445855282208,0.00868358320495404,0.0125164975807423,0.012729507622767,0.00940644900983205,0.0155697894067884,0.0153463780565988,-0.00244579512314324,-0.000939840787777044,31.668401203144,42.6689106246523,0.761093911248714,1,0,0,0
"X2005.01.06",1.88569,1.870802,1.87649,-0.00478490722944223,0.0175676068439858,1.90580130423564,1.90832538935822,-0.00252408512257873,0.00593747923502833,-0.00846156435760706,0.00664582532722081,0.011084061132807,0.0121313275151064,0.00761598243088306,0.014131042774992,0.0151149589347661,-0.00470006539058305,-0.00103658762442838,31.097402086347,39.8659968060725,0.382052659860284,0,1,0,0
"X2005.01.07",1.88601,1.865811,1.871293,-0.00276953247819061,0.0177555634979868,1.90049233435324,1.90558224940576,-0.00508991505252454,0.00373200037751775,-0.00882191543004229,0.00451205434908529,0.00954368244848967,0.011455984669317,0.00572274870172493,0.0126752727042113,0.0148143549055835,-0.00636191416800789,-0.000822453004273751,30.8210364514088,38.3050475923408,0.27139957423635,0,0,1,1
"X2005.01.10",1.879311,1.871398,1.876912,0.00300273661046123,0.0170600232481306,1.89686459060659,1.90345852722756,-0.00659393662097174,0.00166681297781985,-0.0082607495987916,0.00249278326362037,0.0080067663466362,0.0107481446187174,0.00371156730478652,0.0112031790851757,0.0144805360803769,-0.0102746384263881,-0.000332104057263821,30.5644112189662,40.9951265512915,0.696828004549473,1,0,0,1
"X2005.01.11",1.882317,1.875785,1.878605,0.000902013520079879,0.0163080215875498,1.89405542282096,1.9016175252107,-0.00756210238974409,-0.000178970095692933,-0.00738313229405115,0.000664622235735927,0.00652401694317141,0.0100300957164248,0.00170597769402527,0.0097271828983509,0.0141159022306523,-0.0133348095578524,0.000102346727278376,30.0398583493342,41.8182870221871,0.431720759338649,1,1,0,1
"X2005.01.12",1.893903,1.870487,1.890716,0.00644680494302953,0.0168157343312963,1.89354166546389,1.90081000482472,-0.00726833936083637,-0.00159684394872162,-0.00567149541211475,-0.000777734418186309,0.00521045919993258,0.00935172571339495,-0.000101750664195333,0.00825337069615656,0.0137381301577268,-0.00602312716315181,0.000701891987434639,28.5350697446473,47.4644996141533,0.863896481038613,1,1,1,0
"X2005.01.13",1.8929,1.880194,1.881008,-0.00513456277939154,0.0165221818790608,1.89161340923867,1.89934318965252,-0.00772978041384809,-0.00282343124174691,-0.00490634917210117,-0.00204174278103391,0.00397805542719156,0.00868186272801287,-0.0018583988005312,0.00680363725345551,0.0133448050275689,0.0046822657823058,0.00104203829309214,27.1377660402951,43.7956013945439,0.0640642216275843,0,1,1,0
"X2005.01.14",1.881892,1.865184,1.870592,-0.0055374565126783,0.0165354546019851,1.88837934627888,1.89721347190048,-0.00883412562160557,-0.00402557011771865,-0.00480855550388692,-0.00327672147931966,0.0027578477082585,0.00799496122410627,-0.0036059823967997,0.00530540977266744,0.0129057957087549,0.00267179364246535,0.000938116855975116,26.8026708913865,40.2047304347997,0.323677280344751,0,0,1,0
"X2005.01.17",1.874801,1.856596,1.857286,-0.00711325612426443,0.0166547078447004,1.88359575454367,1.89425588138934,-0.0106601268456703,-0.00535248146330898,-0.00530764538236133,-0.00461915881865614,0.00147994536978909,0.00726338914293856,-0.00531164723835704,0.00371327872905666,0.0124190548953393,-0.00584963327776122,0.000501391331145275,26.9545071580204,36.1294130107347,0.0379016753639153,0,0,0,1
"X2005.01.18",1.87301,1.853499,1.863308,0.00324236547306121,0.0168587287129361,1.88047456153695,1.89196344573087,-0.0114888841939189,-0.00657976200943097,-0.00490912218448795,-0.00586819979597665,0.000244818744674043,0.0065280058748265,-0.00674928838500903,0.00216149880908745,0.0119083140883005,-0.0119728278711278,0.000112345024026695,27.2550979091226,39.1363227392209,0.502742042950127,1,0,0,1
"X2005.01.19",1.882317,1.863516,1.870907,0.00407823075948804,0.017012319519155,1.8790026289928,1.89040370901006,-0.0114010800172599,-0.00754402561099676,-0.00385705440626317,-0.00687417801802815,-0.00086431447074824,0.0058249044672937,-0.00791523756389583,0.000745605722968112,0.0114107682812097,-0.0113095177933116,0.000199802282448733,26.6690134107327,42.7960274812314,0.393117387373018,1,1,0,0
"X2005.01.20",1.87459,1.865011,1.870592,-0.000168367535104666,0.0164813681249296,1.87770868607083,1.88893617500932,-0.011227488938484,-0.00828071827649421,-0.00294677066198981,-0.00766568909447467,-0.00185128346767546,0.00515618315726321,-0.00878557794548636,-0.000584797757301647,0.0109347554889737,-0.00416697588180953,0.000517416019815143,26.1247920907992,42.6814588015841,0.582628666875463,0,1,1,1
"X2005.01.21",1.880689,1.862093,1.877194,0.00352936396605994,0.0166324132588632,1.8776295035984,1.88806638426789,-0.010436880669489,-0.00871195075509317,-0.00172492991439583,-0.00816954210811364,-0.0026689593916577,0.00454469045817488,-0.0093202745071828,-0.00179876290272893,0.0104689604467493,0.00143269901973373,0.000912777992345009,25.0617496813634,45.9475441587391,0.812056356205635,1,0,1,1
"X2005.01.24",1.883807,1.87459,1.878887,0.00090187801580441,0.0161027408832301,1.87782296458326,1.88738642987767,-0.00956346529441343,-0.00888225366295722,-0.000681211631456208,-0.00842298268744088,-0.00332557900144396,0.00399142944826946,-0.00961722737452697,-0.00295283003487022,0.010036524098035,0.00223159629552649,0.00105879416414091,23.7977319382478,46.7849443276584,0.466203753932948,1,1,0,0
"X2005.01.25",1.881008,1.863412,1.864315,-0.00775565534276411,0.0162094022487137,1.87574481618583,1.88567743507192,-0.00993261888608421,-0.00909232670758262,-0.00084029217850159,-0.00869746199628512,-0.00395482089521922,0.00344538833711833,-0.00985427902416098,-0.00407415066506786,0.00960109363567439,0.00744846225106621,0.000829908158073219,23.4086734054059,40.9101156219214,0.0513184814730552,0,1,1,1
"X2005.01.26",1.885405,1.864315,1.882105,0.00954237883619451,0.0165580163738056,1.8767233060034,1.88541281025178,-0.00868950424837833,-0.00901176221574176,0.000322257967363432,-0.00869601513302934,-0.00440574311932961,0.00296951019651062,-0.00999639551291518,-0.00504907308855526,0.00918676591005655,0.00807912421454375,0.000742269363138857,22.6430365497267,49.2831492995728,0.843527738264577,1,0,1,1
"X2005.01.27",1.891897,1.880583,1.891003,0.00472768522478824,0.0161834437756766,1.87892018200288,1.88582689838127,-0.0069067163783989,-0.00859075304827319,0.00168403666987429,-0.00837068808673289,-0.00464393104876478,0.00258220719357299,-0.00991408910937026,-0.00588624395495073,0.00882560058759179,0.00859978799074127,0.000782140117246326,21.3631549028421,52.8796437905068,0.920982853102356,1,1,0,0
"X2005.01.28",1.891003,1.880406,1.888788,-0.001171336058166,0.015784412077414,1.88043830784859,1.88604623924192,-0.00560793139333393,-0.00799418871728534,0.00238625732395141,-0.00786836868793308,-0.00473574060539042,0.00226102528820409,-0.0095914696865431,-0.0065987260416714,0.00848785521429214,0.00826981147130879,0.000865926459486895,20.1887874368092,51.893130356911,0.790978578843061,0,1,1,0
"X2005.01.31",1.888004,1.879311,1.884197,-0.00243065923756399,0.015333882643313,1.88101656817957,1.88590925855733,-0.00489269037776063,-0.0073738890493804,0.00248119867161977,-0.00732733626790173,-0.00475068820275901,0.00198048741895058,-0.00901472603975213,-0.00716318663905459,0.00816542342365234,-0.000233099995778106,0.000870697885653348,19.1907327429595,49.8185795807857,0.562061428735754,0,0,1,0
"X2005.02.01",1.886686,1.878287,1.88331,-0.000470757569404823,0.0148385338830763,1.88136940384425,1.88571672088642,-0.00434731704216618,-0.00676857464793755,0.00242125760577138,-0.00678551459049526,-0.00471227190175017,0.00173233822439698,-0.00830056932457686,-0.00752492885479294,0.00784260896177042,-0.00746176151188299,0.000499516086310327,18.3545444696543,49.4076105830404,0.598047386593639,0,0,0,1
"X2005.02.02",1.888503,1.882707,1.884694,0.000734876361300079,0.0141926386057138,1.88188088017591,1.88564096378372,-0.00376008360781532,-0.00616687643991311,0.00240679283209779,-0.006235436230008,-0.0046215873023278,0.00151694913293767,-0.0075364696836324,-0.00772585362376411,0.00750602886813904,-0.0103739278422141,0.000148051259544976,17.3847119805615,50.0993163077786,0.342822636300921,1,0,0,0
"X2005.02.03",1.890716,1.878393,1.882388,-0.00122354079760435,0.0140590929910199,1.88195889861038,1.88540000350345,-0.00344110489306382,-0.00562172213054325,0.00218061723747943,-0.00572737598692724,-0.00450916040620742,0.00132251564172193,-0.00675783127909038,-0.00777170461228837,0.0071417873831784,-0.00725727258862518,-4.85686012084032e-05,16.8956785762697,48.8996786768571,0.324190538018335,0,1,0,0
